DATE,WUR WELL 1,WUR WELL 2,WUR WELL 3,WUR WELL 4,WUR WELL 5,WUR WELL 6,AL WELL 1,AL WELL 2,AL WELL 3,AL WELL 4,POST RESERVOIR METER,CANYON LAKE
2012-01-01,0,0,0,11.7024,0,16.223,3.952,0,0,1.044,27.367,8.925745
2012-01-02,0,0,0,11.6631,0,15.365,3.743,0,0,0.906,26.488,8.705729
2012-01-03,0,7.7307,0,11.07707,0,9.3213,3.721,0,0,0.953,27.566,8.6760712
2012-01-04,0,12.8108,0,11.43583,0.323,3.8297,3.458,0,0,0.903,27.831,8.7115969
2012-01-05,0,13.0735,0,8.18404,0,3.0194,2.959,0,0,1.003,23.791,8.6566024
2012-01-06,0,13.0759,0,11.69672,0,2.8956,2.886,0,0,1.014,27.115,8.620198
2012-01-07,0,13.0913,0,11.71704,0,3.393,2.387,0,0,0.994,27.637,8.7221352
2012-01-08,0,13.052,0,9.742,0,2.9468,2.149,0,0,0.879,25.226,9.0554008
2012-01-09,0,8.3152,0,11.6423,2.0107,0.9022,3.426,0,0,1.074,22.413,8.6234246
2012-01-10,0,12.9942,0,11.7753,0,0,3.171,0,0,0.943,24.274,8.4346637
2012-01-11,0,13.3205,0,11.9249,0,0,2.72,0,0,0.942,24.74,8.6605175
2012-01-12,0,8.4622,0,9.0922,0.7398,11.437,2.091,0,0,0.231,29.137,8.5986552
2012-01-13,0,5.5827,0,0.0871,0,21.236,1.929,0,0,1.636,26.368,7.2581904
2012-01-14,0,7.5579,0,0,0,21.2153,1.574,0,0,0.988,28.198,4.8083803
2012-01-15,0,6.7666,0,0,0,19.0057,1.695,0,0,1.038,25.257,5.439314516
2012-01-16,0,6.7505,0,0,0,21.191,3.471,0,0,1.198,27.383,5.76914078
2012-01-17,0,7.1562,0,0,0,21.1915,3.234,0,0,0.878,27.781,5.50939926
2012-01-18,0,6.2508,0,0,0,21.1718,3.224,0,0,0.978,26.874,6.6371255
2012-01-19,0,5.768,0,0,0,21.1477,3.867,0,0,0.945,26.377,8.4811763
